source	target
Diseases	SFTPA1
Diseases	CCL5
Diseases	SERPINA1
Diseases	TNF
Diseases	CCL11
Diseases	TGFB1
Diseases	SMAD7
Diseases	HMOX1
Diseases	CYSLTR2
Diseases	CMA1
Diseases	CALCA
Diseases	IGF1
Diseases	IL1B
Diseases	CCL3
Diseases	CCL2
Diseases	MECP2
Diseases	PDGFA
Diseases	NFE2L2
Diseases	SFTPC
Diseases	TERT
Diseases	PDGFB
Diseases	CCR2
Diseases	SFTPA2
Diseases	MUC5B
Diseases	PARN
Diseases	IL6
Diseases	ATP11A
Diseases	IL5
Diseases	IL4
Diseases	EDN1
Diseases	FAM13A
Diseases	SPP1
Diseases	DPP9
Diseases	SKIL
Diseases	CSF3
Diseases	FGF7
Diseases	STN1
Diseases	CSF2
Diseases	DSP
Diseases	CXCL2
Diseases	ELN
Diseases	FGF2
Diseases	EGF
Diseases	FGF1
Diseases	CXCL8
Diseases	BMP7
Diseases	CCR3
Diseases	MT2A
Diseases	TIMP1
Diseases	TGFA
Diseases	IL13
Diseases	IL12B
Diseases	CEBPB
Diseases	CTGF
Diseases	PTX3
Diseases	ELMOD2
Diseases	RTEL1
Diseases	GREM1
Diseases	MMP2
Diseases	PLAU
Diseases	MMP9
NFkB	TLR4
NFkB	MIR718
NFkB	TLR5
NFkB	UBE2N
NFkB	TIFA
NFkB	UBE2V1
NFkB	IL1A
NFkB	TLR2
NFkB	TLR1
NFkB	TLR7
NFkB	TLR10
NFkB	TLR8
NFkB	TLR9
NFkB	TLR6
NFkB	MYD88
NFkB	JUN
NFkB	VEGFA
NFkB	ICAM1
NFkB	CSF2
NFkB	CCND1
NFkB	IL2
NFkB	BIRC5
NFkB	BCL2A1
NFkB	BCL2L2
NFkB	CD40LG
NFkB	TNFRSF1A
NFkB	SELE
NFkB	RELB
NFkB	EGLN2
NFkB	VCAM1
NFkB	MMP1
NFkB	PTGS2
NFkB	MMP2
NFkB	MMP3
NFkB	REL
NFkB	CFLAR
NFkB	MMP9
Cytokines	TRAF3
Cytokines	IL17RE
Cytokines	TRAF6
Cytokines	IL17F
Cytokines	NFKB1
Cytokines	NFKBIB
Cytokines	STAT3
Cytokines	IL17RA
Cytokines	IL17RC
Cytokines	MAP3K14
Cytokines	IL17D
Cytokines	IL25
Cytokines	JAK1
Cytokines	JAK2
Cytokines	TRAF3IP2
Cytokines	IL17RB
Cytokines	IL17C
Cytokines	SP1
Cytokines	IL17RD
Cytokines	MAPK1
Cytokines	MAPK3
Cytokines	RELA
Cytokines	MAP3K7
Cytokines	IKBKB
Cytokines	CEBPD
Cytokines	CEBPB
Cytokines	GSK3B
Cytokines	IL17B
Cytokines	IKBKG
Cytokines	AKT1
Cytokines	IL17A
Cytokines	PRKCD
Cytokines	RPS6KB1
Cytokines	PTPN11
Cytokines	STAT1
Cytokines	SOS1
Cytokines	HDAC1
Cytokines	SOCS3
