source	target
CXCR4	GNB1
CXCR4	CCL5
CXCR4	VAV1
CXCR4	CCR3
CXCR4	PIK3R1
CXCR4	CXCL2
PTGER3	CCL4
PTGER3	GNB1
PTGER3	CCL5
PTGER3	CCR3
PTGER3	CXCL2
PTGER3	CXCR4
PTGER3	SAA1
PTGER3	POMC
PTGER3	CXCL12
PTGER3	CXCL1
PTGER3	ANXA1
PTGER3	CXCR3
PTGER3	AGT
PTGER3	CCL20
PTGER2	GNB1
PTGER2	POMC
PTGER2	VIP
PTGER2	GNG2
PTGER2	CALCA
PTGER2	PTGER4
PTGER2	GNGT1
PTGER1	CCL4
PTGER1	GNB1
PTGER1	PLCB3
PTGER1	CCR3
PTGER1	PIK3R1
PTGER1	CXCR4
PTGER1	SAA1
PTGER1	CXCL12
PTGER1	EDN1
PTGER1	PLCB4
PTGER1	ANXA1
PTGER1	AGT
PTGER1	PLCB1
PTGER1	GNG2
PTGER1	F2R
PTGER1	TAC1
PTGER1	F2
PTGER1	CCL11
PTGER1	F2RL1
SELPLG	ITGAM
SELPLG	ITGB2
SELPLG	SELE
SELPLG	SELP
PTGER4	GNB1
PTGER4	POMC
PTGER4	VIP
PTGER4	GNG2
PTGER4	CALCA
TLR2	IKBKG
TLR2	TRAF6
TLR2	IKBKB
TLR2	IL10
TLR2	MYD88
TLR2	TNF
TLR2	SFTPA1
TLR2	IRAK4
TLR2	TLR6
TLR2	IL6
TLR2	RELA
TLR2	TIRAP
TLR2	HSPD1
TLR2	TLR4
TLR2	CHUK
TLR2	IRAK1
TLR2	MAP3K7
TLR2	TLR1
TLR2	RAC1
TLR2	HMGB1
TLR2	TOLLIP
TLR2	CXCL8
TLR2	CD14
TLR2	LY96
TLR3	IKBKG
TLR3	BIRC2
TLR3	IRF3
TLR3	MAP2K6
TLR3	TRAF3
TLR3	UBC
TLR3	TRAF6
TLR3	IKBKB
TLR3	TICAM2
TLR3	MYD88
TLR3	UBA52
TLR3	IL6
TLR3	TLR7
TLR3	TAB3
TLR3	CHUK
TLR3	IRAK1
TLR3	MAP3K7
TLR3	TAB2
TLR3	CASP8
TLR3	UBE2V1
TLR3	UBE2N
TLR3	TLR8
TLR3	UBB
TLR3	HSP90B1
TLR4	IKBKG
TLR4	PLCG2
TLR4	BIRC2
TLR4	IRF3
