source_id	target_id	common_neighbors
Vitamin_B12	CSF1	5
Vitamin_B12	SP1	2
Vitamin_B12	CREBBP	2
Vitamin_B12	KNG1	6
Vitamin_B12	ALB	6
Vitamin_B12	APOE	3
Vitamin_B12	NCOA1	3
Vitamin_B12	IL6	15
Vitamin_B12	RELA	11
Vitamin_B12	SPP1	5
Vitamin_B12	HBB	4
Vitamin_B12	SERPINA1	8
Vitamin_B12	PPARA	4
Vitamin_B12	C4A	6
Vitamin_B12	LRP2	3
Vitamin_B12	JUN	6
Vitamin_B12	TF	7
Vitamin_B12	APP	7
Vitamin_B12	LDLR	4
Vitamin_B12	C3	4
Vitamin_B12	ABCA1	3
Vitamin_B12	HSP90B1	5
Vitamin_B12	FN1	7
Vitamin_B12	CUBN	3
Vitamin_B12	SAA1	8
Vitamin_B12	ADIPOQ	3
Vitamin_B12	CXCL8	6
Vitamin_B12	LEP	1
Vitamin_B12	INS	6
Vitamin_B12	ENSP00000381231	2
Vitamin_B12	F2R	2
Vitamin_B12	PIK3R1	13
Vitamin_B12	PRKCD	4
Vitamin_B12	PIK3CG	1
Vitamin_B12	PTK2	1
Vitamin_B12	PDGFA	1
Vitamin_B12	CD40LG	2
Vitamin_B12	FYN	2
Vitamin_B12	SRC	5
Vitamin_B12	SOS1	6
Vitamin_B12	HSP90AA1	3
Vitamin_B12	EDN1	4
Vitamin_B12	PDGFB	5
Vitamin_B12	ESR1	1
Vitamin_B12	SHC1	6
Vitamin_B12	AKT1	7
Vitamin_B12	JAK1	2
Vitamin_B12	HLA-DRB1	2
Vitamin_B12	NGF	3
Vitamin_B12	FCER1A	1
Vitamin_B12	F2	3
Vitamin_B12	FASLG	1
Vitamin_B12	FCGR3A	1
Vitamin_B12	CTNNB1	1
Vitamin_B12	PIK3CD	1
Vitamin_B12	HRAS	8
Vitamin_B12	VEGFA	10
Vitamin_B12	CXCL12	2
Vitamin_B12	GRB2	4
Vitamin_B12	VAV1	3
Vitamin_B12	F2RL1	1
Vitamin_B12	RAC1	2
Vitamin_B12	MAP2K1	2
Vitamin_B12	HCK	3
Vitamin_B12	STAT3	4
Vitamin_B12	SYK	3
Vitamin_B12	PTGER1	1
Vitamin_B12	PTPN11	4
Vitamin_B12	IL1R1	5
Vitamin_B12	ANXA1	3
Vitamin_B12	TRAF6	10
Vitamin_B12	CD80	1
Vitamin_B12	CD86	1
Vitamin_B12	TYK2	6
Vitamin_B12	IL4R	1
Vitamin_B12	EGF	6
Vitamin_B12	GNB1	6
Vitamin_B12	GNAI1	3
Vitamin_B12	IL3	1
Vitamin_B12	CBLB	1
Vitamin_B12	IFNGR1	2
Vitamin_B12	FGF7	1
Vitamin_B12	CD28	1
Vitamin_B12	INSR	1
Vitamin_B12	AGT	3
Vitamin_B12	IL1RAP	3
Vitamin_B12	TP53	1
Vitamin_B12	FGF2	1
Vitamin_B12	IGF1	5
Vitamin_B12	CXCR4	3
Vitamin_B12	FCGR2A	1
Vitamin_B12	JAK2	6
Vitamin_B12	CYSLTR2	1
Vitamin_B12	AKT2	2
Vitamin_B12	ITGB1	1
Vitamin_B12	PIK3CB	2
Vitamin_B12	GNG2	3
Vitamin_B12	EGFR	4
Vitamin_B12	HLA-DRA	2
Vitamin_B12	RHOA	2
Vitamin_B12	PLCG2	1
Vitamin_B12	CSF2	2
Vitamin_B12	CD40	2
Vitamin_B12	IL12RB1	5
Vitamin_B12	NRAS	3
Vitamin_B12	LCK	2
Vitamin_B12	FGF1	1
Vitamin_B12	TAC1	2
Vitamin_B12	FAS	1
Vitamin_B12	TNFAIP3	1
Vitamin_B12	MAP3K14	2
Vitamin_B12	IKBKB	8
Vitamin_B12	BIRC2	2
Vitamin_B12	CCL4	6
Vitamin_B12	UBC	7
Vitamin_B12	TRAF3	2
Vitamin_B12	CCL5	4
Vitamin_B12	IL10	10
Vitamin_B12	IKBKG	8
Vitamin_B12	MAP2K4	3
Vitamin_B12	MAP2K6	3
Vitamin_B12	SOD2	3
Vitamin_B12	CXCL1	7
Vitamin_B12	ITGAM	6
