Pathway	Type
Allograft rejection	Cluster
Diseases	Cluster
Immune cell regulation	Cluster
NFkB	Cluster
Cytokines	Cluster
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	Pathway
Vitamin B12	Cluster
Inflammation	Cluster
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	Pathway
7124	InflGene
3002	Gene
3123	InflGene
3122	Gene
7040	InflGene
3559	InflGene
3119	InflGene
3558	InflGene
3118	Gene
355	InflGene
3117	InflGene
356	InflGene
3115	Gene
3553	InflGene
3113	Gene
105369230	Gene
958	InflGene
959	InflGene
718	InflGene
5551	Gene
3134	Gene
3133	Gene
3567	InflGene
3127	Gene
720	InflGene
841	Gene
3565	InflGene
721	InflGene
727	InflGene
729	Gene
3605	InflGene
7422	InflGene
5243	InflGene
6772	Gene
3458	InflGene
730	Gene
3576	InflGene
3135	Gene
50616	InflGene
6387	InflGene
3552	InflGene
3596	InflGene
3112	Gene
3111	Gene
1493	InflGene
3593	InflGene
3592	InflGene
3109	Gene
3108	Gene
3107	Gene
3106	InflGene
3105	InflGene
940	Gene
941	Gene
3586	InflGene
942	Gene
50943	InflGene
652614	Gene
3126	Gene
3125	Gene
6356	InflGene
3562	Gene
2205	Gene
3578	Gene
6037	Gene
2207	Gene
2206	Gene
8288	Gene
5553	Gene
3569	InflGene
3811	Gene
3812	Gene
57292	Gene
3803	Gene
3804	Gene
3821	Gene
3802	Gene
3824	Gene
9020	Gene
10673	InflGene
3676	Gene
7852	Gene
115650	InflGene
3600	InflGene
5284	Gene
23308	Gene
4055	Gene
8174	Gene
6370	Gene
56477	Gene
10850	Gene
2826	Gene
8741	Gene
3695	Gene
3601	Gene
10803	Gene
29851	Gene
57379	Gene
23495	Gene
608	Gene
7043	Gene
3684	Gene
7042	Gene
3716	Gene
3717	InflGene
4843	InflGene
10454	Gene
7099	InflGene
5594	Gene
5595	Gene
6885	Gene
7097	InflGene
51135	Gene
5743	InflGene
3688	Gene
3689	Gene
4615	InflGene
3725	Gene
4790	InflGene
7189	Gene
4792	InflGene
4793	Gene
3460	Gene
3459	Gene
1432	InflGene
3654	Gene
6300	Gene
5970	InflGene
23118	Gene
2214	InflGene
2212	InflGene
5600	Gene
5603	Gene
9103	Gene
2353	Gene
1535	Gene
1378	Gene
5579	Gene
5777	Gene
4688	Gene
4689	Gene
65108	Gene
2002	Gene
2209	Gene
653361	Gene
2215	Gene
6352	InflGene
4210	InflGene
3320	Gene
114548	InflGene
6347	InflGene
834	InflGene
8767	Gene
64127	InflGene
1147	Gene
2919	InflGene
329	Gene
3606	InflGene
10392	InflGene
330	Gene
2920	InflGene
5599	Gene
3551	Gene
257397	Gene
8517	Gene
59082	Gene
6355	Gene
6354	Gene
6357	Gene
29108	Gene
838	Gene
58484	Gene
3326	Gene
7205	Gene
7128	Gene
84674	Gene
4671	Gene
260434	Gene
7184	Gene
10910	Gene
331	Gene
64170	Gene
22900	Gene
9051	Gene
22861	Gene
5601	Gene
5602	Gene
55914	Gene
3630	Gene
4049	InflGene
3329	InflGene
1363	Gene
2572	Gene
2571	Gene
3382	Gene
5798	Gene
5799	Gene
6285	Gene
7098	InflGene
4791	InflGene
6288	InflGene
6283	InflGene
148022	Gene
351	Gene
177	InflGene
3146	InflGene
81030	Gene
8737	Gene
11035	Gene
3656	Gene
4214	Gene
7186	Gene
64135	Gene
23586	Gene
57506	Gene
84282	Gene
7706	Gene
2551	Gene
1459	Gene
2668	Gene
712	Gene
713	Gene
10376	Gene
714	Gene
836	Gene
717	Gene
10578	Gene
6363	Gene
6366	Gene
5156	Gene
5590	Gene
840	Gene
643	Gene
120892	Gene
842	Gene
6373	Gene
59067	Gene
23743	Gene
731	Gene
732	Gene
55825	Gene
735	Gene
4283	Gene
7431	Gene
100507436	Gene
3035	Gene
185	Gene
1289	Gene
10563	Gene
1604	Gene
7412	InflGene
3383	InflGene
3827	InflGene
