id	entrezgene	type
TLR7	51284	Gene
ECSIT	51295	Gene
TLR8	51311	Gene
PLA1A	51365	Gene
PDGFA	5154	Gene
PDGFB	5155	Gene
NLK	51701	Gene
RTEL1	51750	Gene
PIK3CA	5290	Gene
PIK3CB	5291	Gene
PIK3CD	5293	Gene
PIK3CG	5294	Gene
PIK3R1	5295	Gene
PIK3R2	5296	Gene
PLAU	5328	Gene
PLCB2	5330	Gene
PLCB3	5331	Gene
PLCB4	5332	Gene
PLCD1	5333	Gene
IL17D	53342	Gene
PLCG1	5335	Gene
PLCG2	5336	Gene
PLG	5340	Gene
TREM1	54210	Gene
TOLLIP	54472	Gene
IL17RD	54756	Gene
IL17RB	55540	Gene
PRKCD	5580	Gene
ERBIN	55914	Gene
MAPK1	5594	Gene
MAPK3	5595	Gene
MAPK8	5599	Gene
MAPK11	5600	Gene
MAPK9	5601	Gene
MAPK10	5602	Gene
MAPK13	5603	Gene
MAP2K1	5604	Gene
MAP2K2	5605	Gene
MAP2K3	5606	Gene
MAP2K6	5608	Gene
CYSLTR2	57105	Gene
BAD	572	Gene
PTGER1	5731	Gene
PTGER2	5732	Gene
PTGER3	5733	Gene
PTGER4	5734	Gene
PTGS1	5742	Gene
PTK2	5747	Gene
PTPN11	5781	Gene
BAX	581	Gene
NLRC4	58484	Gene
RAC1	5879	Gene
CARD18	59082	Gene
CCND1	595	Gene
BCL2	596	Gene
REL	5966	Gene
BCL2A1	597	Gene
RELB	5971	Gene
BCL2L1	598	Gene
BCL2L2	599	Gene
RORA	6095	Gene
RPS6KB1	6198	Gene
S100B	6285	Gene
SAA2	6289	Gene
SAA3P	6290	Gene
SAA4	6291	Gene
MAPK12	6300	Gene
CCL7	6354	Gene
CCL8	6355	Gene
CCL13	6357	Gene
SDCBP	6386	Gene
PRDM1	639	Gene
SELPLG	6404	Gene
MAP2K4	6416	Gene
CARD9	64170	Gene
BLVRA	644	Gene
SFTPC	6440	Gene
BLVRB	645	Gene
SHC1	6464	Gene
SHMT2	6472	Gene
IL25	64806	Gene
BCL11B	64919	Gene
SKIL	6498	Gene
SFTPA1	653509	Gene
BMP7	655	Gene
SOD3	6649	Gene
SOS1	6654	Gene
SP1	6667	Gene
SRC	6714	Gene
BRAF	673	Gene
STAT1	6772	Gene
STAT2	6773	Gene
SYK	6850	Gene
MAP3K7	6885	Gene
HNF1A	6927	Gene
TCN1	6947	Gene
TCN2	6948	Gene
TERT	7015	Gene
TGFA	7039	Gene
TGFB2	7042	Gene
TGFB3	7043	Gene
TIMP2	7077	Gene
TLR1	7096	Gene
TLR5	7100	Gene
HSP90B1	7184	Gene
TRAF3	7187	Gene
TRAF6	7189	Gene
TRIP6	7205	Gene
RNN	7214	Gene
MUC5B	727897	Gene
C6	729	Gene
CCR2	729230	Gene
SFTPA2	729238	Gene
TYK2	7297	Gene
C7	730	Gene
TYROBP	7305	Gene
UBE2N	7334	Gene
UBE2V1	7335	Gene
VAV1	7409	Gene
ZBTB16	7704	Gene
CXCR4	7852	Gene
PLA2G7	7941	Gene
STN1	79991	Gene
PTGES2	80142	Gene
CUBN	8029	Gene
ZBP1	81030	Gene
TLR10	81793	Gene
EOMES	8320	Gene
RASSF5	83593	Gene
CASP5	838	Gene
CASP8	841	Gene
CARD6	84674	Gene
MCEE	84693	Gene
PLCD4	84812	Gene
IL17RC	84818	Gene
IKBKG	8517	Gene
NCOA1	8648	Gene
CBLB	868	Gene
RIPK1	8737	Gene
RIPK2	8767	Gene
IL18R1	8809	Gene
CFLAR	8837	Gene
CCND3	896	Gene
SELENBP1	8991	Gene
MAP3K14	9020	Gene
SOCS3	9021	Gene
PSTPIP1	9051	Gene
DPP9	91039	Gene
CD4	920	Gene
TIFA	92610	Gene
CD14	929	Gene
CD28	940	Gene
CD80	941	Gene
CD86	942	Gene
SCARB1	949	Gene
TOX	9760	Gene
NOD1	10392	InflGene
C4A	110384692	InflGene
PTGDR2	11251	InflGene
NLRP3	114548	InflGene
CCR7	1236	InflGene
CRP	1401	InflGene
MAPK14	1432	InflGene
CSF1	1435	InflGene
CSF2	1437	InflGene
CTNNB1	1499	InflGene
AGER	177	InflGene
EDN1	1906	InflGene
ELANE	1991	InflGene
AKT1	207	InflGene
F2	2147	InflGene
FGF2	2247	InflGene
GATA3	2625	InflGene
CXCR3	2833	InflGene
NR3C1	2908	InflGene
CXCL1	2919	InflGene
CXCL2	2920	InflGene
TBX21	30009	InflGene
ANXA1	301	InflGene
HMGB1	3146	InflGene
HMOX1	3162	InflGene
HSPD1	3329	InflGene
APOA1	335	InflGene
ICAM1	3383	InflGene
IFNG	3458	InflGene
FAS	355	InflGene
IL1A	3552	InflGene
IL1B	3553	InflGene
IL1RN	3557	InflGene
FASLG	356	InflGene
IL4R	3566	InflGene
IL6	3569	InflGene
CXCL8	3576	InflGene
IL10	3586	InflGene
IL12A	3592	InflGene
IL12B	3593	InflGene
IL13	3596	InflGene
IL15	3600	InflGene
IL17A	3605	InflGene
IL18	3606	InflGene
CXCL10	3627	InflGene
IRF1	3659	InflGene
JAK2	3717	InflGene
KNG1	3827	InflGene
LCN2	3934	InflGene
LEP	3952	InflGene
LTF	4057	InflGene
MEFV	4210	InflGene
MMP1	4312	InflGene
MMP2	4313	InflGene
MMP3	4314	InflGene
MMP9	4318	InflGene
MPO	4353	InflGene
MYD88	4615	InflGene
NFKB1	4790	InflGene
NGF	4803	InflGene
NOS2	4843	InflGene
SERPINE1	5054	InflGene
IL22	50616	InflGene
FOXP3	50943	InflGene
IL23A	51561	InflGene
SERPINA1	5265	InflGene
PLAT	5327	InflGene
TLR9	54106	InflGene
POMC	5443	InflGene
PPARA	5465	InflGene
RETN	56729	InflGene
PTGS2	5743	InflGene
PTX3	5806	InflGene
RELA	5970	InflGene
S100A9	6280	InflGene
S100A12	6283	InflGene
SAA1	6288	InflGene
CCL2	6347	InflGene
CCL3	6348	InflGene
CCL4	6351	InflGene
CCL5	6352	InflGene
CCL11	6356	InflGene
CCL20	6364	InflGene
CXCL12	6387	InflGene
SELE	6401	InflGene
SELP	6403	InflGene
NOD2	64127	InflGene
SOD1	6647	InflGene
SPP1	6696	InflGene
BPI	671	InflGene
STAT3	6774	InflGene
TF	7018	InflGene
TGFB1	7040	InflGene
TIMP1	7076	InflGene
TLR2	7097	InflGene
TLR3	7098	InflGene
TLR4	7099	InflGene
TNF	7124	InflGene
TNFAIP3	7128	InflGene
TNFRSF1A	7132	InflGene
TP53	7157	InflGene
C3	718	InflGene
C5	727	InflGene
VCAM1	7412	InflGene
VEGFA	7422	InflGene
VIP	7432	InflGene
VWF	7450	InflGene
CALCA	796	InflGene
CASP1	834	InflGene
TSLP	85480	InflGene
IL33	90865	InflGene
ADIPOQ	9370	InflGene
CD40	958	InflGene
CD40LG	959	InflGene
CAT	847	InflGene
AQP4	361	InflGene
TNFAIP6	7130	InflGene
TNFSF13B	10673	InflGene
CDH1	999	InflGene
C4B	721	InflGene
NPPB	4879	InflGene
PON1	5444	InflGene
SFTPD	6441	InflGene
FCGR3A	2214	InflGene
ABCB4	5244	InflGene
SCGB1A1	7356	InflGene
TAC1	6863	InflGene
ADA	100	InflGene
F2RL1	2150	InflGene
TNFRSF13C	115650	InflGene
TRPV1	7442	InflGene
TNFRSF11B	4982	InflGene
MBL2	4153	InflGene
TREX1	11277	InflGene
CTSG	1511	InflGene
DEFB4A	1673	InflGene
THBD	7056	InflGene
ADA2	51816	InflGene
CHI3L1	1116	InflGene
TNFSF15	9966	InflGene
MUC1	4582	InflGene
PPARG	5468	InflGene
FCGR2A	2212	InflGene
MIF	4282	InflGene
C4A	720	InflGene
CFTR	1080	InflGene
ABCB1	5243	InflGene
PRTN3	5657	InflGene
