source	target
Immune	cellsIL18
Immune	cellsZBTB16
Immune	cellsIL33
Immune	cellsIL4
Immune	cellsIL5
Immune	cellsIL15
Immune	cellsBCL11B
Immune	cellsIL6
Immune	cellsIL12A
Immune	cellsIL12B
Immune	cellsIL13
Immune	cellsIL7
Immune	cellsID2
Immune	cellsNFIL3
Immune	cellsEOMES
Immune	cellsTSLP
Immune	cellsIL22
Immune	cellsTBX21
Immune	cellsIL1B
Immune	cellsIL23A
Immune	cellsIL9
Immune	cellsIFNG
Immune	cellsIL25
Immune	cellsHNF1A
Immune	cellsAREG
Immune	cellsGATA3
Immune	cellsRORA
Immune	cellsAHR
Immune	cellsGFI1
Immune	cellsTNF
Immune	cellsTOX
Vitamin	B12SCARB1
Vitamin	B12PLAT
Vitamin	B12MCEE
Vitamin	B12APOE
Vitamin	B12CRP
Vitamin	B12LDLR
Vitamin	B12CTH
Vitamin	B12RELA
Vitamin	B12SERPINE1
Vitamin	B12
Vitamin	B12MTR
Vitamin	B12SOD3
Vitamin	B12SOD1
Vitamin	B12APOB
Vitamin	B12APOA1
Vitamin	B12ALB
Vitamin	B12IFNG
Vitamin	B12SAA4
Vitamin	B12ICAM1
Vitamin	B12CBLIF
Vitamin	B12LRP2
Vitamin	B12MTRR
Vitamin	B12MPO
Vitamin	B12MMUT
Vitamin	B12NFKB2
Vitamin	B12NFKB1
Vitamin	B12INSR
Vitamin	B12IL6
Vitamin	B12ABCA1
Vitamin	B12SAA1
Vitamin	B12CUBN
Vitamin	B12SAA2
Vitamin	B12MAT1A
Vitamin	B12SERPINA3
Vitamin	B12TCN1
Vitamin	B12TCN2
Vitamin	B12MTHFR
Vitamin	B12CCL2
Vitamin	B12INS
Vitamin	B12IL1B
Vitamin	B12CBS
Vitamin	B12F2
Vitamin	B12HBA1
Vitamin	B12HBB
Vitamin	B12F7
Vitamin	B12TNF
Vitamin	B12CCL5
Vitamin	B12MMAB
Vitamin	B12PLG
Vitamin	B12SHMT2
Complement	C1S
Complement	C1QC
Complement	C1QB
Complement	C1QA
Complement	MASP1
Complement	MBL2
Complement	CRP
Complement	MASP2
Cytokines	CD40LG
Cytokines	CD40
Cytokines	SELPLG
Cytokines	CCL2
Cytokines	SELP
Cytokines	TLR7
Cytokines	TLR2
Cytokines	ICAM1
Cytokines	VCAM1
Cytokines	SELE
Cytokines	CCL5
Cytokines	PF4
Cytokines	TLR4
Cytokines	JUN
Cytokines	MAP2K3
Cytokines	MYD88
Cytokines	IRAK3
Cytokines	MAP3K1
Cytokines	CHUK
Cytokines	ECSIT
Cytokines	MAP2K6
Cytokines	IKBKB
Cytokines	MAP3K7
Cytokines	RELA
Cytokines	TAB1
Cytokines	IRAK2
Cytokines	IRAK1
Cytokines	MAPK8
Cytokines	IL1R1
Cytokines	MAPK14
Cytokines	IL1RAP
Cytokines	IL1RN
Cytokines	TOLLIP
Cytokines	IFNA1
Cytokines	MAP3K14
Cytokines	TGFB2
Cytokines	NFKBIA
Cytokines	TRAF6
Cytokines	NFKB1
Cytokines	TGFB3
Cytokines	HMOX1
Cytokines	BLVRB
Cytokines	IL10RA
Cytokines	BLVRA
Cytokines	IL10RB
Cytokines	STAT2
Cytokines	CXCL1
Cytokines	CD4
Cytokines	IL10
Cytokines	IL4
Cytokines	IL11
Cytokines	IL5
Cytokines	IL15
Cytokines	IL12B
Cytokines	IL7
Cytokines	IL13
Cytokines	IL1A
Cytokines	PDGFA
Cytokines	IL1B
Cytokines	IFNB1
Cytokines	IFNG
Cytokines	CXCL2
Cytokines	IL2
Cytokines	CSF1
Cytokines	CSF2
Cytokines	
Cytokines	HLA-DRA
Cytokines	IL3
Cytokines	HLA-DRB1
Cytokines	CSF3
Cytokines	TNF
Cytokines	SOCS3
Cytokines	CBL
Cytokines	TYK2
Cytokines	STAT3
Cytokines	STAT1
Cytokines	JAK2
