source_id	target_id	common_neighbors
Development	EDN1	1
Development	ELANE	1
Development	TP73	2
Development	UBC	2
Development	UBB	1
Development	RPS27A	1
Development	UBA52	2
Development	SH2B3	1
Metabolism	UBA52	5
Metabolism	UBC	6
Metabolism	UBB	2
Metabolism	PIK3R1	1
Metabolism	LCN2	1
Metabolism	EPO	1
Metabolism	RPS27A	2
Metabolism	ELANE	1
Metabolism	NGF	1
Metabolism	LEP	1
Metabolism	ADIPOQ	1
Metabolism	TP73	1
Metabolism	CST3	1
Complement	ADIPOQ	1
Complement	LEP	1
