source	target
MAPK11	SRC
MAPK11	CD40
MAPK11	CARD9
MAPK11	JUN
MAPK11	CD40LG
MAPK11	MAP3K7
MAPK11	TAB2
MAPK11	DUSP10
MAPK11	STAT1
MAPK11	MAPK10
MAPK11	MAP2K3
MAPK11	JAK1
MAPK11	GNG2
POMC	CCL4
POMC	GNB1
POMC	CCL5
POMC	BDKRB2
POMC	ADM
POMC	CXCL2
POMC	AGTR1
POMC	SAA1
GALNS	ELANE
GALNS	TOLLIP
MAPK10	MAP2K6
MAPK10	TRAF3
MAPK10	TRAF6
MAPK10	BDNF
MAPK10	MAPK9
MAPK10	MAP3K1
MAPK10	MAPK8
MAPK10	CD40
MAPK10	JUN
MAPK10	CD40LG
MAPK10	NGF
MAPK13	MYC
MAPK13	MAP2K6
MAPK13	TAB3
MAPK13	CARD9
MAPK13	MAP3K7
MAPK13	TAB2
MAPK13	STAT1
MAPK13	MAP2K3
MAPK13	MAPK11
MAPK13	NOD2
MAPK13	KDR
MAPK13	MAPK14
MAPK13	NOD1
MAPK13	RIPK2
MAPK13	TAB1
MAPK13	MAPK12
SOD1	AKT1
SOD1	SOD3
SOD1	TXN
MAPK12	MYC
MAPK12	MAP2K6
MAPK12	TAB3
MAPK12	CARD9
MAPK12	JUN
MAPK12	MAP3K7
MAPK12	TAB2
MAPK12	STAT1
MAPK12	MAP2K3
MAPK12	MAPK11
MAPK12	NOD2
MAPK12	KDR
MAPK12	MAPK14
MAPK12	CCND1
MAPK12	NOD1
MAPK12	RIPK2
MAPK12	TAB1
SOD3	AKT1
S100B	SAA1
S100B	RELA
S100B	AGER
S100B	NFKB2
S100B	S100A12
S100B	TAB2
S100B	CAPZA2
S100B	HMGB1
MAPK14	GNB1
MAPK14	MYC
MAPK14	MAP2K6
MAPK14	AKT1
MAPK14	TRAF6
MAPK14	ANGPT1
MAPK14	SHC1
MAPK14	TNF
MAPK14	MAPK9
MAPK14	RELA
MAPK14	MAP3K1
MAPK14	MAPK8
MAPK14	TEK
MAPK14	EDN1
MAPK14	GATA3
MAPK14	TAB3
MAPK14	TP73
MAPK14	SRC
MAPK14	CD40
MAPK14	CARD9
MAPK14	JUN
MAPK14	CD40LG
MAPK14	MAP3K7
MAPK14	TAB2
MAPK14	DUSP10
MAPK14	STAT1
MAPK14	MAPK10
MAPK14	MAP2K3
MAPK14	JAK1
MAPK14	GNG2
MAPK14	MAPK11
MAPK14	CXCL8
MAPK14	MAP2K1
MAPK14	NOD2
MAPK14	TP53
MAPK14	STAT3
MAPK14	KDR
MAPK14	IL1B
MAPK14	MAPK3
MAPK14	CREBBP
MAPK14	RIPK1
MAPK14	EPO
MAPK14	TRAF2
MAPK14	APOB
MAPK14	IL4
CCK	GNB1
CCK	BDKRB2
CCK	PIK3R1
CCK	AGTR1
CCK	SAA1
CCK	LTB4R
NOS3	GNB1
NOS3	VEGFA
NOS3	AKT1
NOS3	BDKRB2
NOS3	HIF1A
NOS3	FOXO3
NOS3	INS
NOS3	EDN1
NOS3	HSP90AB1
NOS3	JUN
NOS3	ARNT
NOS3	PTPN11
NOS3	HSP90AA1
