entrezgene	logFC_SLE	PValue_SLE
31762	-0.85316357964942	5.61678147393862e-21
60753	-3.61901129764836	3.47017516071102e-20
28730	-1.78804233076487	3.82194858229696e-20
51487	-0.727006458614606	5.44260313427461e-20
36956	-1.35559713115257	5.69839609248136e-20
27106	-1.41836837892781	1.00547406966518e-19
31763	-0.870480863781255	1.17287420317436e-19
17565	-0.792174054436623	1.6554419596201e-19
7766	-1.34317396964461	1.94453136593414e-19
47847	-1.48389627047283	2.70722100561585e-19
37396	-1.68357623034096	3.40728162461465e-19
52847	-1.03972182103092	5.01887360896889e-19
30597	-0.919345778459902	5.33858157084685e-19
31218	-2.38407142780378	1.18782681439433e-18
9093	0.585833615156722	1.47319724755364e-18
37778	-1.07550784591927	1.81720984928992e-18
59514	-0.877692487102331	2.13182663345428e-18
7476	-1.16598441764097	2.67854881112626e-18
33450	-0.590491810603216	3.35358829460401e-18
7765	-1.01710320007037	3.63162266771319e-18
59510	-0.83361550677659	3.86267612828284e-18
3428	-1.0102002086166	4.27101039319383e-18
51796	-1.42211781079657	6.30514192862877e-18
30738	-1.4836205772078	6.9544396860775e-18
38032	-1.91490555375073	7.8902183533828e-18
6697	-1.71848566873776	7.98426366564898e-18
53085	-1.33837270248497	8.03507025345905e-18
9989	-1.94140552758527	9.31256002267498e-18
36957	-0.947283084030576	9.97844944044382e-18
31757	-0.800128272114208	1.28279072953981e-17
40461	-1.35521154114984	1.31768632181322e-17
28862	-0.558032000923842	1.61798602812756e-17
8820	-0.708688563698596	1.86893699554619e-17
40459	-1.8612428700253	2.36853065835258e-17
21159	0.53786609465131	2.41459405385912e-17
19036	0.482550185848551	2.87189839360553e-17
19089	0.438386494201915	3.35872334373625e-17
38622	-1.2406944401263	3.48781432650099e-17
34188	-2.79527901464764	4.45232475146034e-17
36960	-1.2022710214667	4.54290081089786e-17
34975	-1.08816186508358	4.65776029373558e-17
51494	-0.993523734949655	4.82658144112662e-17
37183	-0.462624271204753	4.91733937781689e-17
48651	-0.725958248764309	5.12447019112698e-17
46511	-0.737045667544652	5.49242627881009e-17
53456	-1.09069329050519	6.1908289921767e-17
21502	-1.9830435518663	6.35812769290725e-17
22514	-0.906335331768596	6.52172714412682e-17
36067	-1.368792014585	6.6507737241787e-17
44688	-0.57360333242467	7.43625385404316e-17
44689	-2.10756573392812	7.56546173101698e-17
38809	-0.30562870083223	7.89837002512111e-17
33887	-1.12962666818599	8.01913714497652e-17
14883	2.64054556206308	8.41113040112608e-17
37344	-0.621301294102589	9.46359101813555e-17
13978	-0.80306969188913	9.80701477692445e-17
12638	-0.461551147487581	1.10816755750948e-16
39529	-1.57583513832057	1.14742890292556e-16
6692	-1.87692167661152	1.30893110345435e-16
22155	-0.683199744636002	1.55354490488463e-16
28335	-0.406110861868838	1.60506294651343e-16
3010	-0.951311130715471	1.71702980219403e-16
6693	-2.30066494550991	1.95482368783879e-16
13864	-2.26015931608881	1.95651455169226e-16
33187	-1.41944379477606	2.36616090762798e-16
48652	-0.858327002812696	2.55607395353651e-16
12953	-2.28696045165112	2.71514289974554e-16
35016	0.398419624305121	2.87541173169121e-16
43780	-0.954797253037693	2.91462520327734e-16
362	-1.01853815626267	3.10504698582804e-16
53420	0.335873457090433	3.13190046320719e-16
19243	0.437614781773159	3.49566193759001e-16
37395	-1.41157657848587	3.74586606860571e-16
41294	-0.735126136823862	4.03948434836831e-16
21172	0.450014252339021	5.75866244371492e-16
872	0.412405666818408	5.77348619352771e-16
25402	0.578627733701633	5.84280476757187e-16
23690	-0.963735289797586	6.08615892019657e-16
43900	-0.680189945006447	6.33369968584542e-16
8276	-0.711514204676421	6.52589360993923e-16
4372	-0.64313686334954	7.03762395308223e-16
12956	-2.02539916860749	7.9439909055078e-16
61322	-0.525761415738719	8.19184248648141e-16
33205	-0.383226471915426	9.12092815545126e-16
59247	0.469480907027521	9.31994758072027e-16
8719	-1.16536272413804	9.63162615710971e-16
48694	-2.05704990110683	1.40855991937945e-15
27232	0.500243044021369	1.45251419597138e-15
23346	-0.890902617932131	1.51583472406595e-15
26210	-0.812722472363168	1.51637660647184e-15
22419	-0.584714892595634	1.5817452980414e-15
59469	-0.425943956281237	1.5969264957326e-15
41671	-1.23897852341153	1.62210439044201e-15
3430	-1.17971936447403	1.72840447809269e-15
26211	-0.92428199125027	1.74912655323628e-15
31124	-0.927993816931226	1.80606077799137e-15
45123	-0.655921646153465	1.90840128980746e-15
59599	-0.761462944430771	1.95895068589395e-15
13126	-2.0364211087745	1.96396971822502e-15
26282	0.662757673014754	2.0314056240205e-15
39530	-2.26976480253353	2.16468033957605e-15
22154	-0.658951881266512	2.20046449301039e-15
25060	-1.38507568045788	2.20248703248672e-15
9942	-0.990737091577165	2.3858791465427e-15
47846	-1.17239006217347	2.41356602245328e-15
1984	-2.44060635492929	2.50139596860573e-15
44687	-0.720601940200986	2.97705629382243e-15
48668	-1.23195853786689	2.98280615805005e-15
22513	-0.925908332116324	3.15884683088995e-15
44265	0.937575786727319	3.17716679512469e-15
1988	-2.63666682512525	3.24526961355868e-15
27273	0.615666034279667	3.41412025030256e-15
51674	-0.580697175359305	3.4592334264536e-15
31764	-0.926210990796665	3.46075718379268e-15
21503	-2.27070895201114	3.48926467289381e-15
24097	0.405985300246193	3.77043649658183e-15
35263	0.383795648176935	3.86532474195301e-15
