pathway	entrezgene
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	29851
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	10803
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	9020
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	7852
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	6370
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	608
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3109
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3108
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	56477
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	4055
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	5284
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3558
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	959
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3113
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	958
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	57379
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3115
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3117
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3118
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3119
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	23495
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3695
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	6387
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	2826
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	8174
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3565
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3567
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3586
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3569
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3123
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3122
KEGG_TYPE_I_DIABETES_MELLITUS	3126
