ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000088035	1.53180621174042	2.89147616897961	5.55753149376588	7.583475495502	1.24944060366655e-08	0.00014782131781979	9.63191754540049
ENSG00000139112	-1.82228467227204	-3.53640785864439	7.45662729720754	-7.31502854022516	2.62378067234839e-08	0.000155209745672769	8.95279031899489
ENSG00000184908	-0.415613564169279	-1.33386583664611	2.9359771951486	-6.76067718101652	1.24382858066738e-07	0.000280966983001771	7.52151598140324
ENSG00000197943	2.0491837595692	4.13871745099195	7.80296256109923	6.73486862526304	1.33825631316248e-07	0.000280966983001771	7.45401118310833
ENSG00000163568	3.26243925694603	9.59604056931354	5.39112797511154	6.72450327240683	1.37819202010516e-07	0.000280966983001771	7.4268793690544
ENSG00000109943	1.08679332168862	2.12401406814851	3.63601656333662	6.69831864974433	1.48452809718747e-07	0.000280966983001771	7.35828870229626
ENSG00000105576	-0.663173560264003	-1.58356222726577	6.0906293795111	-6.65849385693607	1.66238600372952e-07	0.000280966983001771	7.25382869439987
ENSG00000140632	-0.761402294995297	-1.69513749247634	3.66573994027116	-6.56121647299982	2.19289883800199e-07	0.000324302326905019	6.99798434550651
ENSG00000182087	-1.5301575857647	-2.8881738494166	3.47697444308756	-6.27932470198695	4.91384390415345e-07	0.000627156092491336	6.25148539410611
ENSG00000136931	-0.434274256404999	-1.35123092919421	3.09429381363216	-6.2529338478785	5.30095589968165e-07	0.000627156092491336	6.18124004658825
ENSG00000100142	-0.615526165187834	-1.53211667335474	8.93031177535583	-6.21438623153646	5.92234061770494e-07	0.000636974653164246	6.07853540031443
ENSG00000021574	0.620227664994855	1.53711772754986	4.21880261547118	6.12824861542472	7.58948528624917e-07	0.000748260003513449	5.84861700506231
ENSG00000124508	1.11314314688112	2.16316414948347	4.56893520960967	6.00284404804012	1.0898693326389e-06	0.000948277711435408	5.5129322132245
ENSG00000104660	1.23158146502875	2.34824260354565	8.02383141932168	5.99274894890984	1.12212728933275e-06	0.000948277711435408	5.48586380630871
ENSG00000183943	1.09874489523193	2.14168290949549	4.15308507890874	5.95285868703697	1.25927253559338e-06	0.000984088207285672	5.37884204109022
ENSG00000137563	1.29115282309394	2.44723530146952	4.81563345681417	5.91081332282424	1.42212944778652e-06	0.000984088207285672	5.26593458727717
ENSG00000099812	-0.365181612571256	-1.28804376371704	4.23144101035106	-5.90102683557492	1.46298039696896e-06	0.000984088207285672	5.23963954176589
ENSG00000122779	0.859030203296756	1.81381863036037	6.17265911270559	5.88503908678934	1.53227063904516e-06	0.000984088207285672	5.19667092841447
ENSG00000096968	1.1475307739968	2.21534405410464	6.22451241817256	5.87435673844532	1.58039691813268e-06	0.000984088207285672	5.16795322762631
ENSG00000172175	1.0568230681701	2.08034538425872	4.96914379770693	5.83910997140671	1.75023448307676e-06	0.00103158696830644	5.07315486279175
ENSG00000038002	1.29244735337803	2.44943219123327	6.38217217775214	5.81179638088687	1.89436621029452e-06	0.00103158696830644	4.99964918895451
ENSG00000170633	1.1492427116669	2.21797439653792	7.21798146486687	5.80747140485691	1.91825824551955e-06	0.00103158696830644	4.9880065121127
ENSG00000125629	1.49415814761475	2.81699723493445	8.05176014161478	5.78990620719183	2.01844396634546e-06	0.00103473179921662	4.94071233245963
ENSG00000254838	0.820512232246704	1.7660329153944	3.49443737343083	5.77640240935646	2.09902486528601e-06	0.00103473179921662	4.9043434898364
ENSG00000142875	1.04346882523458	2.06117760877344	8.0781261233324	5.75411898972874	2.23912340419404e-06	0.00105964275980079	4.84431076993074
ENSG00000005020	1.26576125556872	2.40454054940646	7.08576894534706	5.74014069223736	2.33176128153524e-06	0.00106104106622475	4.80664119495781
ENSG00000140443	-0.703107382624585	-1.62800754142916	4.03423306829583	-5.70026908801675	2.61769441337707e-06	0.00114649238325106	4.6991472200243
ENSG00000118137	-0.29696395878088	-1.22855628842951	3.70608851326083	-5.68789970184013	2.71336207683457e-06	0.00114649238325106	4.66578622923363
ENSG00000244020	-0.81122239242069	-1.75469756444044	5.31666491252995	-5.67235389137232	2.83858906927465e-06	0.00115804645788236	4.62384986853944
ENSG00000128581	-0.365081910955248	-1.28795475280082	4.04753863576248	-5.63173186547083	3.19388012096109e-06	0.00124271223825012	4.51422629774839
ENSG00000124067	-0.382078109890392	-1.30321770581055	4.05354710432747	-5.62507702376112	3.25619807165529e-06	0.00124271223825012	4.49626193609023
ENSG00000105298	-0.504006783079534	-1.41814670332508	4.95289587072503	-5.59760094122297	3.5266713605163e-06	0.00130387652707089	4.42207665970511
ENSG00000132164	-0.370077590834576	-1.29242233765622	4.05835875907034	-5.56125678318945	3.91936228888066e-06	0.00140515076484082	4.32391260111428
